School,From,To,Yrs,Overall Games,Overall Wins,Overall Losses,Overall Ties,Overall Percent,Bowl Games,Bowl Wins,Bowl Losses,Bowl Ties,Bowl Percent,SRS,SOS,AP,CC,Notes
Drury,1907,1907,1,5,1,4,0,0.2,0,0,0,0,,-13.17,-3.97,0,0,
Duke,1922,2014,93,979,462,489,28,0.486,10,3,7,0,0.3,2.8,2.84,17,17,
Duquesne,1933,1950,14,132,80,49,3,0.617,1,1,0,0,1,1.04,-2.38,3,0,
East Carolina,1965,2014,50,568,305,260,3,0.54,15,7,8,0,0.467,-2.1,-2.97,2,6,W-L-T adjusted to 306-259-3 by NCAA.
East Tennessee State,1979,1981,3,33,15,18,0,0.455,0,0,0,0,,-9.46,-8.43,0,0,
Eastern Michigan,1975,2014,40,447,133,307,7,0.305,1,1,0,0,1,-15.83,-8.03,0,1,
Erskine,1919,1936,5,39,12,27,0,0.308,0,0,0,0,,-13.04,-5.98,0,0,
Florida,1904,2014,103,1095,663,395,37,0.622,40,20,20,0,0.5,8.55,4.19,29,9,
Florida A&M,2004,2004,1,11,3,8,0,0.273,0,0,0,0,,-21.65,-12.38,0,0,
Florida Atlantic,2004,2014,11,132,53,79,0,0.402,2,2,0,0,1,-10.25,-5.02,0,1,
Florida International,2004,2014,11,131,40,91,0,0.305,2,1,1,0,0.5,-12.58,-6.02,0,1,
Florida State,1954,2014,61,717,485,216,16,0.688,41,25,14,2,0.634,11.51,3.95,30,13,W-L-T adjusted to 474-215-16 by NCAA.
Fordham,1909,1954,25,213,126,70,17,0.631,2,1,1,0,0.5,3.6,-1.08,6,0,
Fort Benning,1922,1922,1,10,5,5,0,0.5,0,0,0,0,,-6.13,-4.03,0,0,
Fort Riley,1943,1943,1,9,6,2,1,0.722,0,0,0,0,,10.37,1.81,0,0,
Fort Warren,1944,1944,1,10,5,4,1,0.55,0,0,0,0,,-4.13,-3.83,0,0,
Franklin & Marshall,1889,1904,7,62,24,31,7,0.444,0,0,0,0,,-6.68,-3.65,0,0,
Fresno State,1969,2014,46,550,323,223,4,0.591,20,9,11,0,0.45,-1.68,-5.56,2,10,W-L-T adjusted to 324-222-4 by NCAA.
